Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A929650,"8100 TOPANGA LN
AUSTIN 78724
(30.28462, -97.63858)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929650
A929624,"3516 LYNNBROOK DR
AUSTIN 78748
(30.17141, -97.84675)",Yes (come to the shelter),05/03/2025,Dog,Chihuahua Shorthair,Black/White,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929624
A929639,"5100 E 51ST ST LITTLE WALNUT CREEK PARK
AUSTIN 78723
(30.29392, -97.67231)",Yes (come to the shelter),05/03/2025,Dog,Black Mouth Cur,Brown/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929639
A929709,"7404 CREPE MYRTLE DRIVE
AUSTIN 78744
(30.16434, -97.73736)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Cream/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929709
A929669,"8509 ELROY RD78617
(30.1307, -97.62351)",No (contact for more info),05/03/2025,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,2 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A929669
A929550,"CARSON CREEK 78617
(43.17699, -84.84744)",No (contact for more info),05/01/2025,Cat,Domestic Shorthair,Calico,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929550
A929607,"7503 BETHUNE AVE78752
(30.33372, -97.69601)",No (contact for more info),05/02/2025,Cat,Domestic Shorthair,Orange Tabby,Intact Female,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A929607
A929656,"7201 LEVANDER LOOP
BLDG A AUSTIN 78702
(30.25109, -97.69047)",Yes (come to the shelter),05/03/2025,Dog,Rottweiler Mix,Black/Brown,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929656
A929700,"DITTMAR LUNAR AUSTIN 78745
(30.21116, -97.80322)",Yes (come to the shelter),05/04/2025,Dog,German Shepherd Mix,Black/Tan,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929700
A929640,"5100 E 51ST ST LITTLE WALNUT CREEK PARK
AUSTIN 78723
(30.29392, -97.67231)",Yes (come to the shelter),05/03/2025,Dog,Staffordshire Mix,Brown/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929640
A929681,"6816 BOYCE LN
AUSTIN 78753
(30.35853, -97.605)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,1 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929681
A929610,"7503 BETHUNE AVE78752
(30.33372, -97.69601)",No (contact for more info),05/02/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A929610
A929436,"1190 AIRPORT BLVD
AUSTIN 78702
(30.27508, -97.70082)",Yes (come to the shelter),04/29/2025,Cat,American Shorthair,Brown Tabby,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929436
A929622,"2508 EAST RIVERSIDE DRIVE
AUSTIN 78741
(30.23579, -97.72258)",Yes (come to the shelter),05/02/2025,Dog,Shih Tzu Mix,Brown/Chocolate,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929622
A929704,"3010 CASTRO STREET
AUSTIN 78702
(30.26168, -97.7054)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Torbie/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929704
A929572,"DEAN KEATON
AUSTIN 78745",Yes (come to the shelter),05/02/2025,Dog,German Shepherd,Black/Brown,Spayed Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929572
A929680,"6816 BOYCE LN
AUSTIN 78753
(30.35853, -97.605)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,1 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929680
A929682,"4510 NORWOOD
AUSTIN 78741
(30.18696, -97.68872)",Yes (come to the shelter),05/04/2025,Dog,Great Pyrenees,White,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929682
A929708,"1601 FARO DRIVE
AUSTIN 78741
(30.23349, -97.71174)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Gray Tabby,Unknown,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929708
A929633,"7314 CAMERON RD
AUSTIN 78752
(30.32852, -97.69083)",Yes (come to the shelter),05/02/2025,Dog,Pit Bull Mix,Black Brindle,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929633
A929641,"10608 BROWNIE DR
AUSTIN 78753
(30.37147, -97.68199)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Blue,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929641
A929707,"3010 CASTRO STREET
AUSTIN 78702
(30.26168, -97.7054)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929707
A929652,"8100 TOPANGA LN
AUSTIN 78724
(30.28462, -97.63858)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Blue Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929652
A929617,"5500 IMPERIAL DRIVE NORTH
AUSTIN 78724
(30.27315, -97.6206)",Yes (come to the shelter),05/02/2025,Cat,Domestic Shorthair,Black/White,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929617
A929723,"4608 NORWOOD LANE
AUSTIN 78744
(30.18611, -97.68966)",No (contact for more info),05/04/2025,Dog,German Shepherd,Brown/Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929723
A929608,"7503 BETHUNE AVE78752
(30.33372, -97.69601)",No (contact for more info),05/02/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A929608
A929702,"3010 CASTRO STREET
AUSTIN 78702
(30.26168, -97.7054)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Torbie/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929702
A929582,"8100 SOUTH CONGRESS AVENUE
AUSTIN 78745
(30.17817, -97.78513)",Yes (come to the shelter),05/02/2025,Cat,Domestic Shorthair,Orange Tabby,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929582
A929690,"8038 EXCHANGE DR
AUSTIN 78754
(30.33308, -97.66399)",Yes (come to the shelter),05/03/2025,Dog,Belgian Malinois,Brown/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929690
A929711,"2004 EAST STASSNEY LANE
AUSTIN 78744
(30.19522, -97.75826)",Yes (come to the shelter),05/04/2025,Dog,Australian Cattle Dog,Red Merle,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929711
A929635,"708 SIMONETTI
AUSTIN 78748
(30.17589, -97.80099)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Black/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929635
A929632,"7314 CAMERON RD
AUSTIN 78752
(30.32852, -97.69083)",Yes (come to the shelter),05/02/2025,Dog,Siberian Husky,White/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929632
A929679,"6816 BOYCE LN
AUSTIN 78753
(30.35853, -97.605)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929679
A929616,"5500 IMPERIAL DRIVE NORTH
AUSTIN 78724
(30.27315, -97.6206)",Yes (come to the shelter),05/02/2025,Cat,Domestic Shorthair,Black/White,Unknown,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929616
A929706,"3010 CASTRO STREET
AUSTIN 78702
(30.26168, -97.7054)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929706
A929703,"3010 CASTRO STREET
AUSTIN 78702
(30.26168, -97.7054)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Torbie/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929703
A929651,"8100 TOPANGA LN
AUSTIN 78724
(30.28462, -97.63858)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Blue,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929651
A929643,"9200 NORTH PLAZA
AUSTIN 78753
(30.35456, -97.6859)",No (contact for more info),05/03/2025,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,4 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A929643
A929609,"7503 BETHUNE AVE78752
(30.33372, -97.69601)",No (contact for more info),05/02/2025,Cat,Domestic Shorthair,Tortie,Intact Female,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A929609
A929698,"20510 MOSES LN78653
(30.2837, -97.49251)",Yes (come to the shelter),05/04/2025,Dog,Chihuahua Shorthair Mix,White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929698
A929674,"183 AUSTIN78752
(30.28706, -97.24116)",Yes (come to the shelter),05/03/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929674
A929637,"EAST WILLIAM CANNON AUSTIN 78744
(30.19461, -97.74921)",No (contact for more info),05/03/2025,Cat,Domestic Shorthair,Black,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929637
A929603,"8500 VALLEYFIELD DRIVE
AUSTIN 78724
(30.29886, -97.62394)",Yes (come to the shelter),05/02/2025,Cat,Russian Blue,Gray,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929603
A929710,"1000 KING
ALBERT AUSTIN 78745
(30.20443, -97.78991)",Yes (come to the shelter),05/04/2025,Cat,American Shorthair,White/Black,Neutered Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929710
A929631,"1327 AND
BRADSHAW AUSTIN 78747",Yes (come to the shelter),05/02/2025,Dog,Chihuahua Shorthair/Dachshund,Tan,Spayed Female,16 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929631
A929499,"6405 DEL MONTE RD
AUSTIN 78741
(30.24048, -97.69018)",No (contact for more info),05/01/2025,Cat,Domestic Medium Hair,Brown Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929499
A929418,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Tortie Point,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929418
A929393,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,5 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A929393
A929460,"10711 LANSHIRE DRIVE
AUSTIN 78758
(30.38542, -97.70722)",No (contact for more info),04/30/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929460
A926967,"EAST SCHRIBER STREET
AUSTIN 78704",Yes (come to the shelter),04/29/2025,Dog,Border Collie Mix,White/Brown,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A926967
A928279,"6702 WENTWORTH
AUSTIN 78724
(30.29346, -97.63143)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Black/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A928279
A929450,"LAYOLA LANE NEAR COLONY LOOP AUSTIN 78724
(30.32376, -97.6552)",Yes (come to the shelter),04/30/2025,Dog,German Shepherd/Alaskan Husky,White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929450
A929516,"6808 SOUTH INTERSTATE HIGHWAY
AUSTIN 78745
(30.1886, -97.77422)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,White/Brown Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929516
A929398,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929398
A929385,"SOUTH CENTER ST AUSTIN 78704
(30.25565, -97.76662)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Blue/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929385
A929394,"3400 EAST HOWARD LANE78660
(30.38854, -97.61958)",Yes (come to the shelter),04/29/2025,Dog,Labrador Retriever Mix,Gray,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929394
A929526,"6215 N LAMAR BLVD
AUSTIN 78752
(30.33068, -97.72303)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,Brown Tabby,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929526
A928543,"FALLENASH DRIVE AUSTIN 78725
(30.21579, -97.63654)",Yes (come to the shelter),05/01/2025,Dog,American Pit Bull Terrier,Black,Intact Female,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A928543
A929464,"7503 BETHUNE AVENUE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/30/2025,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929464
A929357,"15109 POCMONT TRL78719
(30.07602, -97.64535)",Yes (come to the shelter),04/29/2025,Dog,Labrador Retriever/Border Collie,White/Black,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929357
A927759,"38TH
AUSTIN 78751",No (contact for more info),05/01/2025,Dog,American Pit Bull Terrier,White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A927759
A929480,"6110 JACQUELINE LANE
AUSTIN 78724
(30.25932, -97.57198)",Yes (come to the shelter),04/30/2025,Cat,Domestic Longhair,Orange Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929480
A929390,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Calico,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929390
A929419,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Tortie/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929419
A929397,"3400 EAST HOWARD LANE78660
(30.38854, -97.61958)",Yes (come to the shelter),04/29/2025,Dog,Labrador Retriever Mix,Yellow,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929397
A929414,"10414 MC KALLA PL
AUSTIN 78758
(30.3868, -97.71884)",Yes (come to the shelter),04/29/2025,Cat,Domestic Longhair,Torbie,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929414
A928278,"6702 WENTWORTH
AUSTIN 78724
(30.29346, -97.63143)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Tortie,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A928278
A929442,"7208 ONDANTRA BEND
AUSTIN 78744
(30.16215, -97.73013)",No (contact for more info),04/30/2025,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929442
A929509,"1601 ROYAL CREST DRIVE
AUSTIN 78741
(30.23884, -97.7298)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,Brown Tabby,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929509
A929413,"10414 MC KALLA PL
AUSTIN 78758
(30.3868, -97.71884)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929413
A929520,"8500 VALLEYFIELD DR
AUSTIN 78724
(30.29886, -97.62394)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929520
A929356,"15109 POCMONT TRL78719
(30.07602, -97.64535)",Yes (come to the shelter),04/29/2025,Dog,Rottweiler/Pit Bull,Black/Brown,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929356
A929519,"8500 VALLEYFIELD DR
AUSTIN 78724
(30.29886, -97.62394)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929519
A929423,"BURLISON ROAD AUSTIN 78741
(30.22764, -97.70176)",Yes (come to the shelter),04/29/2025,Dog,Australian Kelpie Mix,Black/Brown,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929423
A926785,"1009 W DITTMAR RD
AUSTIN 78748
(30.18523, -97.80216)",Yes (come to the shelter),05/01/2025,Dog,Siberian Husky,Black Smoke/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A926785
A928281,"6702 WENTWORTH
AUSTIN 78724
(30.29346, -97.63143)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Blue/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A928281
A929391,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Torbie/White,Intact Female,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929391
A929456,"14309 WHISPER RILL LN78660
(30.40504, -97.60718)",Yes (come to the shelter),04/30/2025,Cat,Domestic Shorthair,Brown Tabby/White,Unknown,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929456
A929380,"SOUTH CENTER ST AUSTIN 78704
(30.25565, -97.76662)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929380
A929369,"2815 E HWY
AUSTIN 78617",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Black/White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929369
A928077,"8409 N LAMAR BLVD
AUSTIN 78753
(30.35264, -97.7056)",Yes (come to the shelter),04/29/2025,Dog,Australian Cattle Dog,Tricolor/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A928077
A929415,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Torbie,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929415
A929420,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929420
A929396,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929396
A929441,"VIEWPOINT DR
AUSTIN 78744",No (contact for more info),04/30/2025,Cat,Domestic Shorthair,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929441
A929535,"3306 VINTAGE HILLS COVE
APT D AUSTIN 78723
(30.31885, -97.66588)",Yes (come to the shelter),05/01/2025,Dog,Pit Bull,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929535
A929455,"210 E STARLING DR
AUSTIN 78753
(30.36542, -97.68889)",Yes (come to the shelter),04/30/2025,Dog,Border Collie Mix,White/Brown,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929455
A929403,"78653(30.3408, -97.55614)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Cream Tabby/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929403
A929084,"OLD CEDAR LANE
AUSTIN 78758",No (contact for more info),05/01/2025,Dog,Australian Cattle Dog/Anatolian Shepherd,White/Brown,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929084
A929518,"8500 VALLEYFIELD DR
AUSTIN 78724
(30.29886, -97.62394)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,Calico/Orange,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929518
A928280,"6702 WENTWORTH
AUSTIN 78724
(30.29346, -97.63143)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A928280
A929353,"MLK
AUSTIN 78702",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929353
A929416,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929416
A929392,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Torbie/White,Intact Female,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A929392
A929421,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Torbie,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929421
A929459,"10711 LANSHIRE DRIVE
AUSTIN 78758
(30.38542, -97.70722)",No (contact for more info),04/30/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929459
A928277,"6702 WENTWORTH
AUSTIN 78724
(30.29346, -97.63143)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Tortie/Orange,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A928277
A929366,"2129 EAST 7TH STREET
AUSTIN 78702
(30.26137, -97.71835)",Yes (come to the shelter),04/29/2025,Dog,Rhod Ridgeback Mix,Red,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929366
A929383,"SOUTH CENTER ST AUSTIN 78704
(30.25565, -97.76662)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929383
A929517,"6808 SOUTH INTERSTATE HIGHWAY
AUSTIN 78745
(30.1886, -97.77422)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,White/Brown Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929517
A929540,"3600 SOUTH IH
AUSTIN 78704",Yes (come to the shelter),05/01/2025,Dog,Pit Bull Mix,Brown/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929540
A929399,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929399
A929395,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,5 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A929395
A929452,"ROGGE LN
AUSTIN 78723",Yes (come to the shelter),04/30/2025,Dog,Pit Bull,Brown/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929452
A929384,"SOUTH CENTER ST AUSTIN 78704
(30.25565, -97.76662)",No (contact for more info),04/29/2025,Cat,Domestic Shorthair,Blue Tabby/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929384
A929417,"7503 BETHUNE AVE
AUSTIN 78752
(30.33372, -97.69601)",Yes (come to the shelter),04/29/2025,Cat,Domestic Shorthair,Lilac Point,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A929417
